﻿,1
ты,30
сидишь,3
как,135
древний,1
мудрец,1
усмехаясь,1
в,683
бороду,1
потому,11
что,134
видишь,2
как,135
исчезают,1
поколения,1
я,157
не,227
умею,5
почти,8
ничего,10
горько,1
прийти,1
так,51
к,117
тридцати,1
годам,1
без,26
меня,27
растет,1
хлеб,1
без,26
меня,27
гудит,2
завод,1
без,26
меня,27
рождаются,1
дети,8
я,157
связан,1
со,19
всем,4
через,16
хрупкую,1
оболочку,1
слова,18
которая,12
в,683
любую,1
минуту,2
может,18
порваться,1
обходят,1
в,683
очереди,3
если,23
я,157
задумываюсь,1
о,92
чемто,3
мысли,8
мои,11
в,683
туманности,1
андромеды,1
а,92
на,244
деле,5
стою,6
здесь,23
за,67
хлебом,2
гораздо,3
тоньше,3
поэтов,17
я,157
чувствую,4
бедность,1
свою,6
когда,45
ты,30
вдруг,12
сидишь,3
и,506
молчишь,1
в,683
глазах,5
большие,3
испуганные,1
тени,5
гудение,6
пчел,4
заставляет,3
звенеть,2
цветы,7
затем,2
деревья,2
и,506
наконец,3
весь,16
наш,7
сад,3
вокруг,5
задета,2
и,506
во,22
мне,48
песочные,1
часы,2
я,157
прибываю,2
ты,30
убываешь,2
я,157
уже,18
не,227
прибываю,2
ты,30
все,89
убываешь,2
сам,12
сколотил,2
себе,26
такой,11
хороший,4
пахнущий,2
смолой,2
гроб,3
я,157
увидел,5
его,69
на,244
чердаке,3
в,683
снопе,2
солнечных,4
лучей,3
когда,45
был,18
маленьким,3
таллиннские,1
камни,7
эти,21
камни,7
гулко,1
молчат,1
мечты,1
и,506
стоны,1
людей,13
замурованы,1
в,683
них,17
эти,21
камни,7
кляп,1
во,22
рту,1
у,39
веков,2
но,81
руки,12
свободны,1
и,506
человек,17
творил,1
собраны,2
в,683
фокус,3
чтобы,25
уйти,1
из,80
плена,1
вещей,4
острые,1
шпили,1
подымались,1
к,117
небу,2
предчувствуя,1
смутно,2
стройность,1
ракет,1
но,81
горючего,1
не,227
было,42
и,506
под,18
сводами,1
прозвучал,1
хорал,1
честно,1
перешедшие,1
в,683
камень,2
потому,11
что,134
так,51
приказала,1
эпоха,1
их,28
не,227
видно,4
но,81
они,31
есть,19
озабоченный,3
человек,17
ходит,4
взад,1
и,506
вперед,2
по,73
